Dólar compra,Dólar venta,Dólar eBROU compra,Dólar eBROU venta,Euro compra,Euro venta,Peso Argentino compra,Peso Argentino venta,Real compra,Real venta,fecha
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,1999-12-30
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,1999-12-31
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-01
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-02
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-03
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-04
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-05
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-06
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-07
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-08
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-09
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-10
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-11
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-12
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-13
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-14
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-15
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-16
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-17
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-18
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-19
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-20
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-21
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-22
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-23
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-24
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-25
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-26
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-27
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-28
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-29
11.54,11.74,NA,NA,NA,NA,11.48,11.71,4.5,7.5,2000-01-30
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-01-31
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-01
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-02
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-03
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-04
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-05
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-06
11.58,11.78,NA,NA,NA,NA,11.52,11.75,4.5,7.5,2000-02-07
